식별자,이름
aguccim,아구찜
amukkuk,어묵국
bibimnangmyun,비빔냉면
boodaezzigae,부대찌개
bookeokuk,북어국
bookeozorim,북어조림
bossam,보쌈
carrerice,카레라이스
chungkukjangzzigae,청국장찌개
chungpomukmuchim,청포묵무침
dalkdoritang,닭토리탕
dalkjuk,닭죽
dalktygim,닭튀김
dalkyalkuk,달걀국
dalkyangnyumtygim,닭양념튀김
dallemuchim,달래무침
danmuzi,단무지
dduckkuk,떡국
dduckmandukuk,떡만두국
doenjangzzigae,된장찌개
dongtaekuk,동태국
dongtaezorim,동태조림
dongtaezzigae,동태찌개
donkkas,돈까스
dorazinamul,도라지나물
dorazisengche,도라지생채
dubuzorim,두부조림
dubuzzigae,두부찌개
duduckmuchim,더덕무침
frenchfry,후렌치후라이
galbitang,갈비탕
galchizorim,갈치조림
gamzakuk,감자국
gamzazorim,감자조림
gazamizorim,가자미조림
gazinamul,가지나물
gimchibokkembob,김치볶음밥
gobchangjeongol,곱창전골
gochutygim,고추튀김
godungazorim,고등어조림
gogimandu,고기만두
gogumajulgi,고구마줄기
gogumamattang,고구마맛탕
gogumatygim,고구마튀김
gomtang,곰탕(가정식)
gosarinamul,고사리나물
gunmandu,군만두
gyeranccim,달걀찜
haemultang,해물탕
hobakjuk,호박죽
jjajangmyun,자장면
jjimdalk,닭찜
jobchebob,잡채밥
jokbal,족발
kimchikuk,김치국
kimchizzigae,김치찌개
kkomak,꼬막
kkongchizorim,꽁치조림
kkotgyetang,꽃게탕
kongbizizzigae,콩비지찌개
kongguksu,콩국수
kongnamulkuk,콩나물국
kongzorim,콩조림(콩자반)
mandukuk,만두국
maneulzzongmuchim,마늘쫑무침
mechuragialzangzorim,메추라기알장조림
memilguksu,메밀국수(건면)
miyukkuk,미역국
mooneo,문어
mulnangmyun,물냉면
munamul,무나물
musengche,무생채
oikimchi,김치(오이김치)
omurice,오므라이스
ozingakuk,오징어국
ozingatygim,오징어튀김
patjuk,팥죽
samgyetang,삼계탕(닭백숙)
sangchugutzzuri,상추겉절이
sengsunkkas,생선가스
sigeumchidoenjangkuk,시금치된장국
sigeumchinamul,시금치나물
sirekidoenjangkuk,시래기된장국
soondaekuk,순대국
soondubuzzigae,순두부찌개
soup,스프
ssalbob,쌀밥
sukjunamul,숙주나물
sullungtang,설렁탕
sunzikuk,선짓국
suzebi,수제비
tangsuyuk,탕수육
udong,우동
uengzorim,우엉조림
yookgaejang,육개장
yubuchobob,유부초밥
zangzorim,장조림
